menu_item_id,item_name,category,price,order_details_id,order_id,order_date,order_time
109,Korean Beef Bowl,Asian,17.95,1,1,01/01/2023,11:38:36
108,Tofu Pad Thai,Asian,14.5,2,2,01/01/2023,11:57:40
124,Spaghetti,Italian,14.5,3,2,01/01/2023,11:57:40
117,Chicken Burrito,Mexican,12.95,4,2,01/01/2023,11:57:40
129,Mushroom Ravioli,Italian,15.5,5,2,01/01/2023,11:57:40
106,French Fries,American,7,6,2,01/01/2023,11:57:40
117,Chicken Burrito,Mexican,12.95,7,3,01/01/2023,12:12:28
119,Chicken Torta,Mexican,11.95,8,3,01/01/2023,12:12:28
117,Chicken Burrito,Mexican,12.95,9,4,01/01/2023,12:16:31
117,Chicken Burrito,Mexican,12.95,10,5,01/01/2023,12:21:30
101,Hamburger,American,12.95,11,6,01/01/2023,12:29:36
114,Potstickers,Asian,9,12,6,01/01/2023,12:29:36
123,Chips & Guacamole,Mexican,9,13,7,01/01/2023,12:50:37
123,Chips & Guacamole,Mexican,9,14,8,01/01/2023,12:51:37
108,Tofu Pad Thai,Asian,14.5,15,9,01/01/2023,12:52:01
126,Fettuccine Alfredo,Italian,14.5,16,9,01/01/2023,12:52:01
110,Pork Ramen,Asian,17.95,17,9,01/01/2023,12:52:01
117,Chicken Burrito,Mexican,12.95,18,9,01/01/2023,12:52:01
117,Chicken Burrito,Mexican,12.95,19,9,01/01/2023,12:52:01
129,Mushroom Ravioli,Italian,15.5,20,9,01/01/2023,12:52:01
122,Chips & Salsa,Mexican,7,21,9,01/01/2023,12:52:01
130,Shrimp Scampi,Italian,19.95,22,9,01/01/2023,12:52:01
132,Eggplant Parmesan,Italian,16.95,23,9,01/01/2023,12:52:01
129,Mushroom Ravioli,Italian,15.5,24,10,01/01/2023,13:00:15
105,Mac & Cheese,American,7,25,10,01/01/2023,13:00:15
101,Hamburger,American,12.95,26,11,01/01/2023,13:02:59
102,Cheeseburger,American,13.95,27,11,01/01/2023,13:02:59
102,Cheeseburger,American,13.95,28,11,01/01/2023,13:02:59
113,Edamame,Asian,5,29,11,01/01/2023,13:02:59
102,Cheeseburger,American,13.95,30,12,01/01/2023,13:04:41
102,Cheeseburger,American,13.95,31,12,01/01/2023,13:04:41
104,Veggie Burger,American,10.5,32,12,01/01/2023,13:04:41
117,Chicken Burrito,Mexican,12.95,33,12,01/01/2023,13:04:41
129,Mushroom Ravioli,Italian,15.5,34,13,01/01/2023,13:11:55
114,Potstickers,Asian,9,35,14,01/01/2023,13:14:19
107,Orange Chicken,Asian,16.5,36,15,01/01/2023,13:33:00
124,Spaghetti,Italian,14.5,37,15,01/01/2023,13:33:00
121,Cheese Quesadillas,Mexican,10.5,38,15,01/01/2023,13:33:00
114,Potstickers,Asian,9,39,15,01/01/2023,13:33:00
125,Spaghetti & Meatballs,Italian,17.95,40,16,01/01/2023,13:34:07
111,California Roll,Asian,11.95,41,16,01/01/2023,13:34:07
106,French Fries,American,7,42,16,01/01/2023,13:34:07
101,Hamburger,American,12.95,43,17,01/01/2023,13:53:00
116,Steak Tacos,Mexican,13.95,44,17,01/01/2023,13:53:00
124,Spaghetti,Italian,14.5,45,17,01/01/2023,13:53:00
125,Spaghetti & Meatballs,Italian,17.95,46,17,01/01/2023,13:53:00
117,Chicken Burrito,Mexican,12.95,47,17,01/01/2023,13:53:00
127,Meat Lasagna,Italian,17.95,48,17,01/01/2023,13:53:00
128,Cheese Lasagna,Italian,15.5,49,17,01/01/2023,13:53:00
129,Mushroom Ravioli,Italian,15.5,50,17,01/01/2023,13:53:00
118,Steak Burrito,Mexican,14.95,51,17,01/01/2023,13:53:00
131,Chicken Parmesan,Italian,17.95,52,17,01/01/2023,13:53:00
111,California Roll,Asian,11.95,53,18,01/01/2023,13:57:08
110,Pork Ramen,Asian,17.95,54,19,01/01/2023,13:59:09
120,Steak Torta,Mexican,13.95,55,19,01/01/2023,13:59:09
107,Orange Chicken,Asian,16.5,56,20,01/01/2023,14:03:08
124,Spaghetti,Italian,14.5,57,20,01/01/2023,14:03:08
110,Pork Ramen,Asian,17.95,58,21,01/01/2023,14:14:29
124,Spaghetti,Italian,14.5,59,22,01/01/2023,14:16:26
